"id","semester_nr","statistic_course","ba_program","other_ba","specialization","statistics_1","statistics_2","statistics_3","statistics_4"
193,4,1,"Management and Technology (TUM)",NA,"Mechanical Engineering",4,1,1,2
194,8,0,"other","Engineering Science","other",1,1,1,1
195,4,0,"other","Information Systems","none",3,1,1,1
196,6,0,"other","Information Systems","none",3,2,2,2
197,4,0,"other","Information Science","other",1,1,1,1
198,4,1,"Management and Technology (TUM)",NA,"Computer Engineering",2,1,1,2
199,4,1,"Management and Technology (TUM)",NA,"Computer Engineering",4,4,2,3
200,4,1,"Management and Technology (TUM)",NA,"Chemistry",3,2,1,2
201,4,1,"Management and Technology (TUM)",NA,"Computer Engineering",4,3,1,3
202,4,1,"Management and Technology (TUM)",NA,"Informatics",3,3,3,3
203,4,0,"other","Exchange student","Innovation and Entrepreneurship",4,2,3,2
204,4,1,"Management and Technology (TUM)",NA,"Computer Engineering",2,2,1,1
205,4,0,"other","Business Informatics","Computer Engineering",1,2,1,1
206,4,1,"Management and Technology (TUM)",NA,"Computer Engineering",3,2,1,2
207,4,1,"other","Information System","Informatics",5,4,4,3
208,4,1,"Management and Technology (TUM)",NA,"Computer Engineering",4,1,1,3
209,4,1,"Management and Technology (TUM)",NA,"Informatics",3,1,1,2
210,4,1,"Management and Technology (TUM)",NA,"Marketing, Strategy and Leadership",3,2,1,2
211,4,1,"Management and Technology (TUM)",NA,"Computer Engineering",5,3,1,5
212,4,0,"other","Businessinformatics","Computer Engineering",1,1,1,1
213,4,0,"other","information systems","none",1,1,1,1
214,4,1,"Management and Technology (TUM)",NA,"Informatics",4,3,2,1
215,4,0,"other","engineering science","none",5,3,3,1
216,4,0,"other","Wirtschaftsinformatik B.Sc","Informatics",5,5,1,1
217,4,1,"Management and Technology (TUM)",NA,"Informatics",3,2,1,2
218,4,1,"other","Information Systems","Informatics",5,3,2,3
219,1,1,"other","Diplom 2008","Finance and Accounting",1,1,1,1
220,6,1,"Management and Technology (TUM)",NA,"none",2,1,1,2
221,4,1,"Management and Technology (TUM)",NA,"Medicine",1,1,1,1
222,6,1,"other","Information Systems","Informatics",5,1,1,1
223,4,1,"Management and Technology (TUM)",NA,"Chemistry",4,4,1,2
224,4,0,"other","Wirtschaftsinformatik","Informatics",1,2,1,1
225,2,0,"Management and Technology (TUM)",NA,"Computer Engineering",1,1,1,1
226,4,1,"Management and Technology (TUM)",NA,"Computer Engineering",2,4,3,4
227,4,0,"other","Wirtschaftsinformatik","Informatics",2,1,1,1
228,4,1,"Management and Technology (TUM)",NA,"Electrical and Information Technology",3,4,3,4
229,4,1,"Management and Technology (TUM)",NA,"Computer Engineering",1,1,1,2
230,7,0,"other","Wirtschaftsinformatik","none",3,1,1,1
231,4,1,"Management and Technology (TUM)",NA,"Computer Engineering",3,3,3,3
232,4,1,"Management and Technology (TUM)",NA,"Informatics",3,3,2,1
233,4,0,"other","Information Systems","none",2,1,1,1
234,4,1,"Management and Technology (TUM)",NA,"Informatics",4,2,2,2
235,4,1,"Management and Technology (TUM)",NA,"Mechanical Engineering",3,3,2,2
