id,semester_nr,statistic_course,ba_program,other_ba,specialization,statistics_1,statistics_2,statistics_3,statistics_4
163,4,0,other,B.Sc. Wirtschaftsinformatik,Innovation and Entrepreneurship,1,1,1,1
164,4,1,Management and Technology (TUM),,other,4,4,3,1
165,4,1,Management and Technology (TUM),,Informatics,3,1,1,3
166,4,1,Management and Technology (TUM),,Mechanical Engineering,2,2,2,1
167,8,1,Management and Technology (TUM),,other,5,4,4,3
168,4,0,other,Information Systems,Informatics,1,1,1,1
169,4,1,Management and Technology (TUM),,Medicine,2,2,1,1
170,6,0,other,Information Systems,Informatics,3,1,1,2
171,4,1,Management and Technology (TUM),,Electrical and Information Technology,2,1,1,1
172,8,1,Management and Technology (TUM),,Operations and Supply Chain Management,4,4,2,1
173,4,1,Management and Technology (TUM),,Informatics,2,2,2,2
174,7,1,Management and Technology (TUM),,Informatics,5,4,1,5
175,6,1,Management and Technology (TUM),,Informatics,3,1,1,1
176,4,0,other,Information Systems,none,2,1,1,1
177,4,0,other,Wirtschaftsinformatik,none,3,1,1,1
178,6,0,other,Information Systems,Informatics,1,1,1,2
179,8,1,Management and Technology (TUM),,Mechanical Engineering,1,1,1,1
180,4,1,Management and Technology (TUM),,Informatics,4,4,3,3
181,4,0,other,Wirtschaftsinformatik,none,2,1,2,2
182,4,1,Management and Technology (TUM),,other,4,4,3,1
183,4,0,Management and Technology (TUM),,Informatics,3,1,2,1
184,6,0,other,Politial Science B.Sc.,Economics and Policy,3,3,3,5
185,4,1,Management and Technology (TUM),,Computer Engineering,2,2,1,1
186,3,1,Management and Technology (TUM),,Informatics,2,1,1,1
187,8,1,other,Information Systems,Informatics,3,2,1,2
188,4,1,Management and Technology (TUM),,Informatics,3,3,1,2
189,4,1,Management and Technology (TUM),,Computer Engineering,4,3,1,4
190,4,1,Management and Technology (TUM),,Electrical and Information Technology,3,2,2,1
191,2,0,Business Education (Wirtschaftspädagogik) (TUM),,none,1,1,1,1
192,6,1,Management and Technology (TUM),,Computer Engineering,3,2,2,3
193,4,1,Management and Technology (TUM),,Computer Engineering,2,1,1,3
194,5,1,Management and Technology (TUM),,Computer Engineering,3,3,1,2
195,6,1,Management and Technology (TUM),,Electrical and Information Technology,2,1,1,1
196,4,0,other,Wirtschaftsinformatik,Informatics,1,1,1,1
197,4,1,Management and Technology (TUM),,Mechanical Engineering,2,2,1,1
198,4,0,Management and Technology (TUM),,Medicine,1,1,1,1
199,4,0,Management and Technology (TUM),,Computer Engineering,2,1,1,3
200,4,0,Management and Technology (TUM),,Informatics,3,2,2,2
201,4,0,other,Wirtschaftsinformatik B.Sc.,none,1,1,1,1
202,4,1,Management and Technology (TUM),,Informatics,3,2,1,4
203,4,0,other,Wirtschaftsinformatik,other,1,1,1,1
204,6,1,Management and Technology (TUM),,Medicine,1,1,1,1
205,4,0,Management and Technology (TUM),,Chemistry,1,1,1,1
206,6,0,other,Information Systems,none,1,1,1,1
207,6,1,Management and Technology (TUM),,Computer Engineering,2,1,1,1
208,2,0,Management and Technology (TUM),,Finance and Accounting,1,1,1,1
209,6,1,Management and Technology (TUM),,Informatics,5,4,3,5
210,4,0,other,Wirtschaftsinformatik,none,2,2,1,1
211,4,0,other,Wirtchaftinformatik,Informatics,1,1,1,1
212,4,1,Management and Technology (TUM),,Informatics,3,2,2,2
213,4,0,Management and Technology (TUM),,Computer Engineering,4,3,2,2
214,3,1,Management and Technology (TUM),,Informatics,4,3,1,3
215,2,0,other,Information Systems,none,4,3,1,1
216,4,0,Management and Technology (TUM),,Computer Engineering,3,1,1,2
217,4,0,Management and Technology (TUM),,Computer Engineering,1,1,1,1
218,4,1,Management and Technology (TUM),,Computer Engineering,4,3,3,2
219,4,0,other,exchange semester for the MSc. Mgt and Technology,other,3,3,1,3
220,4,1,Management and Technology (TUM),,Informatics,5,3,2,3
221,6,0,Management and Technology (TUM),,Mechanical Engineering,1,1,1,1
222,4,1,Management and Technology (TUM),,Computer Engineering,3,2,1,1
223,6,0,other,Wirtschaftsinformatik,none,1,1,1,2
224,4,0,other,Information Systems (Wirtschaftsinformatik),none,1,1,1,1
225,4,0,Management and Technology (TUM),,Electrical and Information Technology,3,2,1,1
226,4,0,Management and Technology (TUM),,Medicine,3,3,3,1
227,4,0,other,Wirtschaftsinformatik,none,1,1,1,1
228,4,0,Management and Technology (TUM),,Computer Engineering,3,1,1,1
229,4,0,other,Wirtschaftsinformartik,Informatics,2,1,1,1
230,4,0,other,Wirtschaftsinformatik,Informatics,1,1,1,1
231,6,0,other,-,other,1,1,1,1
232,4,0,other,Wirtschaftsinformatik,none,1,1,1,1
233,4,0,other,Wirtschaftsinformatik,Informatics,1,1,1,1
234,4,0,other,Computer Science,none,1,1,1,1
235,4,1,Management and Technology (TUM),,Chemistry,2,1,2,1
236,4,0,Management and Technology (TUM),,Informatics,2,1,1,1
237,4,0,other,Winfo,Informatics,3,1,1,1
238,5,0,Management and Technology (TUM),,Informatics,1,1,1,1
239,2,0,other,Consumer Science,"Marketing, Strategy and Leadership",5,5,4,2
240,4,1,Management and Technology (TUM),,Mechanical Engineering,5,4,3,4
241,4,1,Management and Technology (TUM),,Mechanical Engineering,3,2,1,2
242,4,0,other,B. Sc. Wirtschaftsinformatik,Informatics,2,1,1,1
243,4,0,Management and Technology (TUM),,Medicine,1,1,1,1
244,4,0,other,Wirtschaftsinformatik,none,1,1,1,1
245,4,1,Management and Technology (TUM),,Informatics,4,2,2,2
246,4,1,Management and Technology (TUM),,Computer Engineering,2,1,1,1
247,4,0,other,Wirtschaftsinformatik,none,3,1,1,1
248,4,1,Management and Technology (TUM),,Electrical and Information Technology,2,1,1,1
249,4,0,other,Wirtschaftsinformatik,none,3,1,1,1
250,6,0,other,Informaiton system (Wirtschaftsinformatik),none,2,1,1,1
251,6,1,other,Information Systems,none,2,1,2,2
252,4,1,Management and Technology (TUM),,Mechanical Engineering,1,1,1,1
253,4,0,other,Wirtschaftsinformatik,Informatics,2,2,2,1
254,4,0,other,Information Systems,none,1,1,1,1
255,4,1,Management and Technology (TUM),,Mechanical Engineering,2,4,4,5
256,4,1,Management and Technology (TUM),,Medicine,4,1,1,1
257,4,0,Management and Technology (TUM),,Electrical and Information Technology,1,1,1,1
258,4,1,Management and Technology (TUM),,Informatics,4,3,3,2
259,6,1,other,Information Systems at TUM,Informatics,4,3,1,2
260,4,0,Management and Technology (TUM),,Medicine,4,1,3,1
261,4,1,Management and Technology (TUM),,Informatics,4,2,2,3
262,4,0,other,Wirtschaftsinformatik,none,4,1,1,1
263,4,1,Management and Technology (TUM),,Mechanical Engineering,2,1,2,2
264,6,0,other,informatik,Finance and Accounting,3,4,3,3
265,6,0,other,Political Science,none,3,3,2,3
266,4,1,Management and Technology (TUM),,Computer Engineering,4,4,4,3
267,4,1,Management and Technology (TUM),,Mechanical Engineering,1,2,1,1
268,4,1,Management and Technology (TUM),,Informatics,3,1,1,2
269,4,1,Management and Technology (TUM),,Mechanical Engineering,3,1,1,1
270,4,1,Management and Technology (TUM),,Computer Engineering,1,1,1,1
271,4,0,Management and Technology (TUM),,Informatics,3,1,2,2
272,4,1,Management and Technology (TUM),,Informatics,3,2,1,3
273,4,1,Management and Technology (TUM),,Mechanical Engineering,5,3,1,4
274,4,1,Management and Technology (TUM),,Informatics,4,4,3,3
275,4,0,Management and Technology (TUM),,Computer Engineering,3,1,1,1
276,4,1,Management and Technology (TUM),,Mechanical Engineering,4,3,3,3
277,4,0,other,wirtschaftsinformatik,Informatics,2,1,1,1
278,4,1,Management and Technology (TUM),,Informatics,2,2,2,2
279,8,0,other,Wirtschaftsinformatik,Informatics,3,1,1,1
280,4,0,other,Information System,Informatics,2,1,1,1
281,4,0,other,Wirtschaftsinformatik,Finance and Accounting,1,1,1,1
282,4,1,Management and Technology (TUM),,Electrical and Information Technology,1,1,1,1
283,6,1,Management and Technology (TUM),,Medicine,2,1,1,1
284,6,0,other,Information Systems,none,2,1,2,1
285,4,0,other,Information Systems,none,2,1,1,1
286,4,1,Management and Technology (TUM),,Computer Engineering,2,5,1,3
287,4,0,other,Information Systems (Wirtschaftsinformatik),Finance and Accounting,4,3,2,1
288,4,1,Management and Technology (TUM),,Computer Engineering,4,4,2,2
289,4,1,Management and Technology (TUM),,Informatics,4,3,1,3
290,6,0,other,Wirtschaftsinformatik,Informatics,1,1,1,1
291,4,0,Management and Technology (TUM),,Informatics,2,1,1,2
292,4,0,Management and Technology (TUM),,"Marketing, Strategy and Leadership",1,1,1,1
293,3,0,Management and Technology (TUM),,Mechanical Engineering,5,3,4,1
294,6,0,Management and Technology (TUM),,Mechanical Engineering,1,1,1,1
295,4,1,Management and Technology (TUM),,Computer Engineering,4,3,2,3
296,4,0,Management and Technology (TUM),,Informatics,4,3,2,3
297,4,0,Management and Technology (TUM),,Computer Engineering,2,2,2,2
298,4,0,Management and Technology (TUM),,Mechanical Engineering,1,1,1,3
299,4,0,other,Information Systems,none,1,4,1,3
300,4,0,Management and Technology (TUM),,Medicine,1,1,1,1
301,4,1,Management and Technology (TUM),,Computer Engineering,4,4,4,4
302,4,0,other,Winfo,Informatics,5,2,1,2
303,4,0,Management and Technology (TUM),,Medicine,2,1,1,2
304,4,1,Management and Technology (TUM),,other,4,3,3,1
305,4,0,other,Information Systems,none,1,1,1,1
